Rank,Word,Score,Match,Exact,Frequency
1,RAISE,8812.0,7680,2264,0.005291
2,ARISE,8717.0,7680,2074,0.003953
3,AROSE,8674.5,7669,2011,0.002316
4,ARIES,8667.0,7680,1974,0.000128
5,STARE,8654.5,7575,2159,0.000701
6,SNARE,8642.0,7555,2174,0.00021
7,SERAI,8613.0,7680,1866,2.1e-05
8,SERAL,8587.5,7566,2043,1.8e-05
9,NARES,8585.0,7555,2060,6.2e-05
10,LASER,8577.5,7566,2023,0.002526
11,IRATE,8546.0,7594,1904,6.5e-05
12,ORATE,8537.5,7583,1909,1.5e-05
13,LATER,8523.5,7480,2087,0.029636
14,ARLES,8483.5,7566,1835,4.2e-05
15,CARSE,8459.0,7248,2422,1.6e-05
16,TERAS,8439.5,7575,1729,1.6e-05
17,CARET,8384.5,7162,2445,2e-05
18,SLANE,8374.5,7177,2395,1.5e-05
19,CARTE,8365.5,7162,2407,0.000151
20,ALTER,8359.0,7480,1758,0.00227
21,SLATE,8353.0,7197,2312,0.000938
22,ASTER,8328.5,7575,1507,0.000183
23,ANSER,8320.5,7555,1531,1.5e-05
24,ARENT,8312.5,7469,1687,2e-05
25,SAYER,8302.5,7130,2345,5e-05
26,SCARE,8299.5,7248,2103,0.000339
27,STANE,8294.5,7186,2217,1.5e-05
28,CATER,8292.0,7162,2260,0.000219
29,LEARN,8292.0,7460,1664,0.008237
30,CRANE,8280.0,7142,2276,0.001163
31,STALE,8270.5,7197,2147,0.000403
32,IRENA,8270.5,7574,1393,2.6e-05
33,TALES,8267.0,7197,2140,0.001683
34,MARIE,8261.5,7075,2373,0.00167
35,CRATE,8258.5,7162,2193,0.000182
36,SIENA,8252.5,7291,1923,0.000143
37,RENAL,8249.0,7460,1578,0.001818
38,MAIRE,8247.5,7075,2345,4.1e-05
39,HAIRE,8234.0,7111,2246,2.7e-05
40,RANCE,8233.5,7142,2183,5.3e-05
41,ALERT,8231.5,7480,1503,0.001214
42,SHARE,8225.5,7092,2267,0.012293
43,TRACE,8221.0,7162,2118,0.003142
44,PARSE,8214.5,7042,2345,6.9e-05
45,AISLE,8209.5,7302,1815,0.000453
46,ALINE,8204.0,7196,2016,5.4e-05
47,CLARE,8199.0,7153,2092,0.00051
48,ANISE,8183.5,7291,1785,5e-05
49,TINEA,8182.5,7205,1955,5.1e-05
50,CERIA,8170.5,7267,1807,1.1e-05
51,ALONE,8161.5,7185,1953,0.014774
52,SAUTE,8154.0,6893,2522,4.5e-05
53,OATEN,8153.5,7194,1919,1.3e-05
54,ALIEN,8141.0,7196,1890,0.001786
55,SETAL,8138.0,7197,1882,1.3e-05
56,NATES,8135.5,7186,1899,2e-05
57,OARED,8131.5,7124,2015,1.4e-05
58,SOLER,8127.5,6928,2399,2.3e-05
59,SABER,8123.5,6926,2395,7.3e-05
60,PARLE,8118.5,6947,2343,3.7e-05
61,URATE,8117.0,7176,1882,4.3e-05
62,RAMIE,8109.0,7075,2068,3.8e-05
63,SPARE,8106.0,7042,2128,0.001672
64,NACRE,8097.5,7142,1911,1.3e-05
65,SIREN,8083.0,6928,2310,0.00017
66,ATONE,8081.5,7194,1775,0.000104
67,LEAST,8064.5,7197,1735,0.02993
68,PALER,8063.5,6947,2233,0.000253
69,CREAT,8060.0,7162,1796,2.6e-05
70,TEARY,8053.0,7044,2018,1.9e-05
71,PATER,8047.5,6956,2183,0.000161
72,CANOE,8047.0,6867,2360,0.00056
73,MATER,8042.5,6970,2145,0.000486
74,AIDER,8040.5,7135,1811,2.3e-05
75,EARLY,8036.5,7035,2003,0.031025
76,TRADE,8030.5,7030,2001,0.028207
77,HATER,8029.0,7006,2046,6.6e-05
78,TAMER,8028.0,6970,2116,3.7e-05
79,PRATE,8014.0,6956,2116,2.4e-05
80,REACT,8013.5,7162,1703,0.001134
81,RATED,8006.0,7030,1952,0.001453
82,STEAL,8003.0,7197,1612,0.000747
83,SHEAR,8002.5,7092,1821,0.001701
84,SERIO,7999.5,7042,1915,1.7e-05
85,LAYER,7998.5,7035,1927,0.006382
86,ERICA,7998.0,7267,1462,0.000133
87,TAPER,7994.5,6956,2077,0.000303
88,LEANT,7992.5,7091,1803,9.4e-05
89,AIMER,7978.5,7075,1807,1.4e-05
90,CLEAR,7976.0,7153,1646,0.020073
91,STELA,7973.5,7197,1553,4.5e-05
92,TARGE,7972.0,6862,2220,1.6e-05
93,CASTE,7970.0,6879,2182,0.000925
94,SONAR,7968.5,6866,2205,0.000143
95,STORE,7958.5,6937,2043,0.006293
96,SNORE,7946.0,6917,2058,4.1e-05
97,SOLAR,7941.0,6877,2128,0.003441
98,ADORE,7939.5,7124,1631,0.000194
99,ANTES,7934.0,7186,1496,3.1e-05
100,RELAY,7933.5,7035,1797,0.000789
101,ELIAN,7924.0,7196,1456,1.2e-05
102,NORSE,7919.0,6917,2004,0.00016
103,TRINE,7918.0,6842,2152,3e-05
104,SCALE,7915.5,6870,2091,0.012411
105,LARGE,7912.0,6853,2118,0.049779
106,TONER,7911.0,6831,2160,6.9e-05
107,SAVER,7907.5,6715,2385,0.000108
108,MAINE,7887.5,6686,2403,0.002233
109,SMEAR,7887.0,7056,1662,0.000226
110,SPEAR,7883.0,7042,1682,0.00064
111,RINSE,7879.5,6928,1903,0.00026
112,RANGE,7877.5,6842,2071,0.01967
113,PEART,7876.5,6956,1841,2.4e-05
114,HAINE,7874.0,6722,2304,1.1e-05
115,GRATE,7871.0,6862,2018,0.000334
116,SHANE,7865.5,6703,2325,0.000209
117,ALDER,7865.5,7021,1689,0.000201
118,SITAR,7864.5,6897,1935,1.3e-05
119,LANCE,7862.0,6764,2196,0.000577
120,LOSER,7861.5,6928,1867,0.000184
